"SLNG_YMD","RT_CD","DPTM","CBN_CD","CHNL","SHPCO_CD","SHIP_CD","TOT_CNT","MKRV_CNT","HOLD_CNT","PREO_CNT","RMN_CNT","CBN_TYP","SWAY_CD","SLNG_TM","REG_ID","REG_DT"
"20231009","RTCJWD","1710","CBB00","PLTC0","HXF","SHP03","10","36","0","-28","2","CTBD0","LNCJWD","1710","GUEST","2023-08-23 09:59:29"
"20231010","RTWDCJ","0900","CBP10","PLHP0","HXF","SHP03","25","6","10","-2","11","CTFL0","LNWDCJ","0900","BATCH","2023-08-21 22:48:52"
"20231013","RTCJWD","1710","CBP10","PLHP0","HXF","SHP03","25","8","10","-2","9","CTFL0","LNCJWD","1710","BATCH","2023-08-21 22:48:52"
"20231014","RTCJWD","0720","CBP10","PLHP0","HXF","SHP02","40","5","28","-1","8","CTFL0","LNCJWD","0720","GUEST","2023-08-23 10:30:47"
"20231015","RTWDCJ","1500","CB220","PLHP0","HXF","SHP02","120","7","0","-5","118","CTCH0","LNWDCJ","1500","GUEST","2023-08-22 10:35:43"
"20231015","RTWDCJ","1500","CBF00","PLHP0","HXF","SHP02","6","6","0","-2","2","CTRM0","LNWDCJ","1500","GUEST","2023-08-22 10:35:43"
"20231018","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","13","24","-7","90","CTFL0","LNCJWD","1710","GUEST","2023-08-22 10:35:43"
"20231018","RTCJWD","1710","CBF00","PLHP0","HXF","SHP03","10","4","0","-2","8","CTRM0","LNCJWD","1710","GUEST","2023-08-22 10:35:43"
"20231021","RTWDCJ","0230","CB104","PLHP0","HXF","SHP02","36","9","4","-3","28","CTRM0","LNWDCJ","0230","BATCH","2023-08-22 12:04:49"
"20231023","RTCJWD","1710","CB104","PLHP0","HXF","SHP03","8","9","0","-3","4","CTRM0","LNCJWD","1710","BATCH","2023-08-22 12:04:49"
"20231027","RTWDCJ","0900","CB310","PLHP0","HXF","SHP03","120","38","24","-2","60","CTFL0","LNWDCJ","0900","GUEST","2023-08-23 11:21:17"
"20231031","RTCJWD","1710","CB210","PLHP0","HXF","SHP03","60","17","20","-6","29","CTFL0","LNCJWD","1710","BATCH","2023-08-21 22:54:41"
"20231031","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","20","24","-15","91","CTFL0","LNCJWD","1710","GUEST","2023-08-22 08:56:38"
"20231102","RTWDCJ","0900","CB310","PLHP0","HXF","SHP03","120","30","24","-15","81","CTFL0","LNWDCJ","0900","BATCH","2023-08-23 08:35:46"
"20231106","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","30","24","-15","81","CTFL0","LNCJWD","1710","BATCH","2023-08-23 08:35:46"
